reviewcontent,score,sentiment
"This experience has been one of the very best... ever! From the people I had to work with in refinancing my car to the actual processing, this was truly marvelous!!!",1,Positive
"I really appreciate your time and effort to make everything I asked for possible .  Tresl is a great company with a very professional team ,  my financial advisor did everything she possibly could to get me approved .  Great job . Thank you very much.",1,Positive
The loan process was easy and fast. Ashley was helpful and knowledgeable.,1,Positive
Great experience. Awesome customer service. Very easy to conduct business. Great refinancing options offered.,1,Positive
"very helpful, answered all questions, great experience",1,Positive
They were awseome!! Kevin was really heplful and friendly!!!,1,Positive
Difficult process to to get the paperwork completed.  Communication was poor outlining where the process was and certain deadlines.,0,Negative
After looking to refinance my car only tresl was able to approve me at a good rate I recommend them to any one who has bad credit,1,Positive
Service was great but just took to long to finalize,1,Positive
Robert & everyone on the team made refinancing my truck very easy with no hassles. I was kept informed throughout the process & any questions or concerns I had was quickly answered. Thanks to everyone for being professional & courteous to me.,1,Positive
"We had a horrible experience.  No one called us when we had our 2 hour test drive so basically HAD to take the car home so no one else could look at it. We were told by the car agent we could haggle on price. The car wasn't cleaned like a rental car I would like.   When we finally got someone the gentleman said he didn't care, Tresl isn't selling the car so do you want it or not? Then we had a warranty added on without our knowledge or consent. Agent was upset we denied the warranty and tried to argue taking it off.   We liked the paperwork not having to be at a car dealership but wasn't explained in any way.",0,Negative
"Kevin was great in handling our transaction. He was delightful to work with and extremely helpful. We originally had our own financing set up for the purchase of this vehicle, but Kevin got us a better interest rate and was a breeze to work with. I’d chose this route over the pushy salespeople at car dealerships who go back and forth and make you sit in their facility for hours.",1,Positive
All went smooth josh was very helpful will recommend!,1,Positive
"Laura Deen and Don Dalton were amazing.  This was not a typical transaction.  It involved purchasing a car as a gift to my brother.   In addition, long travel distances were required on his and on my part.  In other words....serious choreography and exact planning.   Laura was superb.  Likewise, Don Dalton.  I have hired and managed hundreds of employees.  Suffice it to say that I would be very proud to have Laura and Don on my staff, and you are extremely fortunate to have them on yours.",1,Positive
Working with Don Dalton was a pleasure. My situation was rather unique and he was very patient and a real gentleman in getting everything done. Thanks Don!,1,Positive
Have been above board knows his job thank you for the help in my Nissan Pathfinder l do appreciate good job,1,Positive
Jorge was Great!  He explained the whole refinancing process and answered all my questions and was super patient.   The whole process took about 2 weeks from start to finish.   He helped me save about $100 on my current car payment and lowered my interest rate by almost half.   I would recommend this company to anyone moving forward.   JOB WELL DONE JORGE!!,1,Positive
I give Tresl 5 stars because they made my car refinancing easy. They helped with any problems I had  and there was great communication.,1,Positive
"I would say this in one great experience for me buying a car in the comfort of your home. TRESL made it easy for me very professional staff especially Robert who keep me posted almost every day, highly recommend their services.",1,Positive
"I was kinda nervous at first refinancing my car through this company but overall I am happy with the outcome. I feel like I got a really good rate, monthly payment and apr a lot lower than when I first got my car. & Josh was very helpful, polite, helping us every step of the way.",1,Positive
This person is the best customer service he was with me till now processing my car loan and till now he still around to make sure am good to go thank you,1,Positive
"Rachele was easy to work with, she made it simple and was consistent with the follow-up. I truly appreciate it.",1,Positive
Eric was very awesome to work with! He quickly responsded to all questions and was directly to the point without making me feel rushed. Highly recommend.,1,Positive
Had some bumps with communication but it was an overall good experience.,1,Positive
Caroline Pham was very helpful in completing this transaction very professional I'll even be trying to do another transaction with her for another vehicle in the near future,1,Positive
Everything went very smooth,1,Positive
Don was very helpful and made the process fast and easy.,1,Positive
"This was much easier than I imagined.  Chris from Tresl contacted me immediately after I inquired about refinancing my pickup.  He was professional, personable, a pleasure to work with every step of the process and the results were exactly what I was told when we started.  I couldn't ask for a better experience.",1,Positive
Working with Mark was great. I had zero issues the entire time. He was professional and very personable as well. I will definitely look into using Tresl and hopefully working with Mark in the future.  Thanks again!,1,Positive
"I retired from the Finance Field.  I financed autos, homes, and commercials.  Your group is equal to the finest groups I oversaw in  over 45 years!  Great job!",1,Positive
I felt that there was good communication throuhout the process.  It is a differrnt means of buying a car but there are no screwd negotion practices that you need to deal with--No dickering with price.  The people I worked with Kevin and Laura did a very nice job explaining things to me and providing with assitance to my questions. Also the people a Avis were very kind as well.  I would highly recommend your services to others looking for a good car at a very fair price.  Harry S.,1,Positive
Going on a month since the loan was approved and they still have not finished the refinance on our truck. Just bought a Semi truck through  another finance company and from credit approval to money wire transferred to seller was 5 days. I absolutely would not recommend Tresl to anyone it is a complete joke.,0,Negative
"Steve was fantastic to work with. Patient, professional and friendly. Appreciate the savings!",1,Positive
I’m very satisfied with the help that I received for refinancing my vehicle! I would recommend this company to anyone who is looking for refinance!,1,Positive
"Good job, very easy to work with. thanks",1,Positive
"Rachele was great!  When using my company website, they restrict opening some messages.  This is what happened with all my paperwork and the reason why it was all Fed EX to me.",1,Positive
"Excellent service Jeff was very helpful through all the process, highly recommended.",1,Positive
Dan was extremely helpful!  This was much easier then I thought it would be.  Thank you- Ed,1,Positive
This company did a refinance of my vehicle. It reduced my interest rate and saved me a lot of money. My account representative did an awesome job of keeping in touch with me and walking me through the entire process,1,Positive
This was a very smooth and quick experience. Lee was on top of everything. I am very happy with the outcome of lowering my car payment.,1,Positive
Good customer service.,1,Positive
"Kevin helped me through the whole process,  super simple, fast, and saved me 6% financing,  thank you so much!!!",1,Positive
"They got me out of a prison sentence, just joking gave me a better deal then my previous lender ,",1,Positive
"Applied for auto refinance, I was hepled by Ashley Jefferson, she was so helpful and friendly. Every step of the process was smooth and easy thanks to her. Thank you Ashley and thank you Tresl, saved hundreds with the refinance.",1,Positive
"The team at Tresl was Great! They helped me get financing for a lease buyout despite having subpar credit. They were efficient and courteous and everything was handled electronically. I would definitely recommend this company to anyone needing a car loan, especially if they have issues with their credit history. Thank you Tresl! Verne",1,Positive
Eric was awesome to work with! I was able to refinance my Subaru Outback quickly and painlessly and for a lower rate that that offered by other companies.,1,Positive
Very easy and smooth process. Great communication.,1,Positive
"Great friendly service, Thank you Darla for all your help!!!",1,Positive
Great service. Quick and efficient.,1,Positive
"I’ve had an absolutely horrible experience/process with refinancing my auto loan. Sarah was the individual that worked with me. Sarah would ignore my emails and when she would respond, it would be weeks later. Lessons were learned but I will never do business with Tresl again.",0,Negative
Jonathan helped me with the application process and He was very helpful. This was an easy process thanks to him.,1,Positive
"I had excellant service from Jorge!! he is very Kind, knowledgable about all asspects of the transformation from my excisting account to Tresl!! thank you so much Jorge! if 10 is the highest rating i can give you,,,,I easiely give you a 20!!!",1,Positive
"Tresl was better than expected! Jeff Hazzard made the process as simple as could be. There were some negative reviews on Yelp but my own experience relates to more of the great reviews from Credit Karma. They saved me $50/mo, cut my rate almost in half, and made sure all the docs were in order with no unexpected surprises. Great job! -Dave H Tampa, FL",1,Positive
"I had my stressful moments as I am tech challenged, but Markis was sooo very patient and helped me thru the process.",1,Positive
"I worked with Aimee. She was amazing to work with. She was thorough, professional, and friendly.  Tresl was able to get me a great deal on re-financing my car. I’m very grateful for the service this company provided.",1,Positive
"Fast, easy experience. My financial advisor Steve was knowledgeable and available via email and text, which really work well with my busy schedule.  I would definitely recommend Tresl!  Thanks Steve!",1,Positive
Trisha was a great help and answered all my questions!,1,Positive
Ashley from Tresl was awesome! The process was very easy and their fees are super low.,1,Positive
Awesome service from Ashley! She was able to get my a lower interest rate and monthly payment!   Her communication skills were amazing and she was very knowledgeable about the process which gave me comfort! Thanks again!,1,Positive
Markis was great. Smooth process!,1,Positive
"Pleasant experience, easy to talk too, explained everything, easy to reach and returned email/calls promptly.",1,Positive
Very helpful for buying out lease. Good customer service. I worked with Caroline who was very responsive and helpful.,1,Positive
"Overall, horrible experience in my opinion.  Manager rude and could frankly care less if you are happy or not.  Was arrogantly chuckling as I was talking to him.  He had no idea what customer service is.  I ended up buying the car so I can speak from experience.  I would strongly recommend looking elsewhere.  Finance person got combative when I was trying to decline warranty which they obviously get commission for but wouldn't disclose that.  You dont want a finance person who avoids questions about who is making money off of you.  I'm happy its over and wouldn't shop here again.  There is more but just trust me, save yourself the head ache.  Thanks",0,Negative
"Angel did a great job!!! He was awesome. The process sucked though. The information I had to provide was a bit ridiculous. It is easier to get a passport, driver’s license, credit card, etc.., then get this small loan. I feel sorry for Angel because I know he did not make near what he should’ve on this loan for all the work that he has done.",1,Positive
Great service,1,Positive
"Sorry to leave a bad review, but there was no follow-up to schedule a “Ultimate Test Drive.” Tenya said the vehicle I requested was no longer available and would call back after consulting with Avis team sales, but she did not. I scheduled my own appointment online and later received a text message that the order didn’t go through and asked if they could book for me. I replied yes. I texted the day of the test drive to confirm my appointment with no response. I called to confirm and there was no appointment. I don’t need to work this hard to buy a vehicle. I’ll take my money elsewhere.",0,Negative
"Jason from Tresl was great! He was very good with communication and was by my side every step of the way and answered any questions I had getting my Truck refinanced. He got me a really good rate for my loan and made the process not as stressful as I imagined, I have no complaints. Very professional job Jason!",1,Positive
"Very pleased with Tresl and Aaron for getting my truck refinanced. I am going to save over $70.00 a month! My credit score dropped about 10 points, as always with a loan refinance, well worth it though because that hard hit will rebound in 6 months so not worried. Again, thanks Aaron and Tresl!",1,Positive
Jorge was amazing.he explained everything from start to finish definitely appreciate working with him. He made the process easy,1,Positive
"Sara, with Tresl, was very helpful and did a great job assisting us to make our vehicle purchase relatively easy. She was quick to respond and to get things done. Good experience.",1,Positive
"The pocess was long,  it took over two weeks to finish everything. I am not sure with title changes if docusign is an option but it would speed things up.  Otherwise, everyone was friendly and helped along the way just gave 4 star due to the time it took to complete the new loan.",1,Positive
Darla Burn walked me through this process and did an amazing job. Darla is incredible at what she does and she is a true asset to your company.  Thank you Darla for making this process much easier than I anticipated.,1,Positive
Josh communicated with me throughout the entire process and made this a very pleasant experience!!,1,Positive
Absolutely loved working with josh on this! I couldn’t have asked for a better person to do the job!,1,Positive
Super friendly. Awesome. And convenient!,1,Positive
Easy process with great customer service all the way throughout. No bull and straight forward!,1,Positive
"I had the most attentive and patient team working to help me  purchase my vehicle. Outstanding attentiveness ans extraordinary customer service from both the sales and the customer service team.  During these difficult times, it is been very hard to reach most companies and get a callback but Tresl was there for me from beginning to end and Made my experience both easy and pleasurable.  I highly recommend purchasing from this group!",1,Positive
Darrin was an awsome representative of Tresl. Hes very patient very helpful and was a pleasure to work with. Thank you for your help.,1,Positive
Great Service Fast and Friendly,1,Positive
Mark was very very great  about  communicating everything and being older he helped very much with Email ect ect because he was so helpful and  took  his time with  us we got it done thank you  mark,1,Positive
Good service and easy process.,1,Positive
"I had an excellent Financial Advisor, Eric Hernandez! He walked me through the whole process, answered any questions I had and made the whole process smooth. He also followed up with me. Great car financing experience.",1,Positive
Was very helpful and really worked with me to get this deal done awesome customer service,1,Positive
"It has been over a month since I picked up my car from Avis and Tresl still has not completed the transaction.  It is not all bad, since it pushes back my first payment due and I have possession of the car.",0,Negative
Most convenient company that I have ever got the chance to do business with. Love them :),1,Positive
"One word, avoid these ppl, rude unprofessional staff.  Finance advisor spent more time judging my job than my income. Single worst customer service I have ever seen in my life.",0,Negative
"Thanks so much Lee, for your support,patience and understanding of how to make customers feel at home. You're always polite, friendly and still get your business done in a highly professional way.  Was a bit overwhelmed with everything about the buying experience due to my work schedule BUT you made the whole process easier. Thanks again!",1,Positive
Steve was an excellent representative. Got my refi done in a quick and timely manner. I love my new rate. Great service!!!,1,Positive
"It was a pleasure to have worked with Sara Edwards on the loan process.  She was very professional, responsive, and patient.  The entire transaction was much better than having to go to a dealership.  Thanks again Sara for all of your assistance.  Jim Fields",1,Positive
"The whole Tresl team that assisted me through the application process were amazing. Specifically Eric, i would email him multiple times and get a response within minutes. They were able to give me the refinance loan I was looking for and made the process super easy.",1,Positive
Everyone I spoke to from Tresl was kind and knowledgeable.  i would definately do business with them again.  I particularly was impressed with folks always returning my calls!,1,Positive
Fantastic job helping me work through this paperwork! I appreciate your patience and understanding.   Stay safe and take care!  —Bonnie LeFloor,1,Positive
The whole process was quick and easy. Great experience!!,1,Positive
The process can be confusing and slow. One min they want you to send paperwork asap..next you wait a week in limbo on the status.,1,Positive
Everything was very good! All the information at the moment.,1,Positive
They got me an awesome rate. Refinanced my car and they saved me thousands in interest.,1,Positive
"I am very happy with the service I was given with Tresl! I felt very valued and important as a new customer, I did not know much about refinancing and see what I could do for lowering my monthly payments and with the help of Darla she was very professional and informative of what I can do. Huge shoutout to Darla and her team for making wonders for me, she was exceptionally great and very kind! She did nothing but provide the best for me! Thank you again!",1,Positive
Jon was wonderful and he made the process of refinancing my vehicle painless! Thank you.,1,Positive
Jeff was great and attentive. The whole experience was beautifully handled from start to finish!,1,Positive
"I was trying to purchase an automobile through here. I picked out the auto i liked, got approved for the loan through USAA, and made a reservation Thursday to take a test drive this morning at 9am. When I arrived at avis I was informed that the auto was not there, and no one knew when it would be available. I called and emailed I lthe trustpilot agent with no response. I called back again and had to escalate my problem to management. I received a call back saying that the car was in Chicago, and I would have to close my case. I made a loan specifically for this vehicle, plus out of 3 hrs of work traveling to avis. I am very disappointed in the service I received, and wonder why my bank would even promote these people! If I could put zero stars i would do so! And yes, a manager did reach out to me, but didn't try to help me at all. Basically tried to talk me into changing my review,  and tried to wiggle out of the situation by saying it wasn't their fault because the are a third party. I am a small business owner, and I survive on good work ethic, good customer service, and word of mouth. I don't place the blame on anyone, i just get it right. Not these people!",0,Negative
Don was great. Knowledgeable and helpful during a purchase of a fleet vehicle. Thanks for your help!,1,Positive
Amazing costumer service!!! Very helpful and knowledgeable! Highly recommended,1,Positive
Sara Edwards was my financial advisor through my automobile purchase and I would just like to say she was wonderful. I had several questions during the process and Sara was quick to respond and also made sure that I understand what was going on every step of the way. I could not recommend her enough and would love to do business again with her someday.,1,Positive
This was a timely process and I will save thousands from this transaction!!,1,Positive
"I bought a 2019 Kia SOUL Hatchback for $12,924 in mid-May (Avis Albuquerque) but refused their offer to sell me an extended warranty I was already given for free by the manufacturer.  Tresl/IFS then sent the title transfer info to Albuquerque (my town), or so they said. It's going into the 4th month and my insurance company advised me that I stand to be fined and lose my driving privileges if I don't produce the title transfer data that they need. I suspect TRESL doesn't know where they sent the info.  TRESL keeps ignoring my pleas. I'm driving without car registration and don't have my own car plates.  Is it legal what they are doing? Can anybody suggest how I can return the car before they get me in trouble? This is now going into the 4th month and I am desperate.",0,Negative
"The agent, Mark Nosel was very helpful in my completing the application process. The money saved is significant. I look forward to the lower payments.",1,Positive
"Caroline was amazing and most of all attentive towards my car loan, making the process extremely easy gaining my trust and confidence knowing I was making the right decision.",1,Positive
"The process was detailed but my rep Jorge did an excellent job walking me through the refinance process. He was attentive with questions via phone calls, text and email. No questions left unanswered. Great customer service.",1,Positive
Eric Hernandez was awesome! He was such a great help and made the process so smooth.,1,Positive
"Easy to work with, great communication and reliable.",1,Positive
"My representative, Jorge Benavides, did a great job explaining the whole process, answering questions, and following the whole process through.  It was, overall, a fairly easy way to purchase a vehicle.     Charles Ellis ( Tony)",1,Positive
"Dan Reese did a great job assisting me in the refinancing process, the entire process was online, very quick and easy, thank you Dan for all your help.",1,Positive
"My loan advisor, Aimee, is very professional, patient, and highly efficient! Her instructions about issues related to my previous lender are even more accurate than my previous lender! You can always get in touch with her whenever you need her help! My load rate is decreased from 8.2% to 3.2%. I bet you can almost never find a lower one. I highly recommend Tresl and I highly recommend Aimee as your finance advisor.",1,Positive
SO for so good.  It was a very easy process. The Representative was awesome and so helpful,1,Positive
Thank you! I appreciate your assistance,1,Positive
George was very Professional and easy to talk to He explained everything from a to Z he went Above and beyond to ensure that the paperwork the experience went well. I would definitely use Tresl again and refer them to my friends and family. The company themselves when I had a problem went above and beyond to make sure thing’s went well. Thank you.,1,Positive
Bill was great!,1,Positive
Darla was awesome to work with,1,Positive
"The people at this this company that I have dealt with are extremely responsive and supportive!. I had some serious difficulties with the Post Office, trying to get delivery of a title for my vehicle that the USPS lost in transit. Kara was the most sincere, helpful, and responsive customer service person I have ever dealt with",1,Positive
It’s been more than 2 months and no title or tags.  Can’t even get anyone to respond to me.  Terrible... I’ll be sure to let Enterprise know.,0,Negative
"After the original dealership tried to charge me some ridiculous fees to buy out my lease, I looked into other options and found Tresl. I worked with Don throughout the process and he was absolutely wonderful. He explained the process clearly, worked hard to get my loan closed quickly, and saved me thousands of dollars. I couldn’t be happier with my experience. Thank you!",1,Positive
"Tresl was a pleasure to deal with but the individual Avis rental location in Carle Place, NY was anything but. Not Tresl's fault though. Wound up buying elsewhere for other reasons but would work with Tresl in the future. Pam Showels was a great help and really on top of her game.",1,Positive
I applied online to refinance my car and within minutes I was contacted by Juan who is one of Tresl's Financial Advisors.  He was both professional and knowledgeable and kept in touch with me throughout the process in regards to documents needed. It took a total of 3 weeks to close on the loan.  I went from an interest rate of over 16.99% to 4.0 and I'm saving over $70.00 on my monthly payments. Thank you Juan!  Christin,1,Positive
"friendly, helpful and willing to get the job done in a timely manner. I refinanced my 2016 Kia and saved thousands.",1,Positive
Sarah helped through the entire process making it painless and effortless for me. She was able to save me a couple hundred bucks on my truck payment and almost 2 grand on the overall cost. Thanks Sarah!,1,Positive
Aaron didan amazing  job for me even with all the obstacles that presented themselves. I couldn't be happier and would highly recommend  you!!!!!,1,Positive
The process wasn't so bad and the young that actually helped me was assume and I would like to thank him so much Mr. Mark Panzarino.,1,Positive
"Credit Karma directed me to Tresl, and Ashley was a saint.    Ashley prepared me with the the types of emails, signature requirements and systems used, as well as what I would have to do on my end with getting a notary for signatures and documents needed for the FedEx envelope.  She answered any questions I emailed her, and phone calls were great.  Only once did we have a little issue and that was because of internet system failures which are out of both of our controls. The most difficult part of the process was getting to a FedEx site for quick delivery.",1,Positive
"I am 3 months in the process of paying cash for a vehicle. They accepted my paperwork, and accepted and cashed my check. But I still sit here waiting for title. I have my vehicle and a temporary tag that’s about to expire.",0,Negative
Great experience work with Chance and the team!!  Easy start and finish!!  Thank you!!!,1,Positive
"The process was a lot more difficult than I anticipated. Miscommunication and lack of follow up. I wont use an online finance process again if at all possible. You can walk into a car dealership and purchase a car, with financing, within  a few hours. It makes no sense to endure this process over several weeks.",1,Positive
Great communication and customer service! My rep ensured that the process was smooth.,1,Positive
"Guided me through what turned out to be a happy purchase,  in a pleasant and informative manner.",1,Positive
The service I received from Chance was exceptional. My interest rate was cut in almost half when refinancing my loan. Chance stayed in constant contact and guided me through the entire process. Such a great experience.,1,Positive
I received excellent service from Sara Edwards. She took me through the process and answered any questions I had quickly. She got me a great interest rate and kept my payment on my lease buyout close to what I was paying before. Thank You for your help.,1,Positive
Absolutely loved my experience with Kim Winner. She eas there every step of the way and helped in everyway possible. Definitely loved my experience applying at tresl.,1,Positive
"Mark Nosal was very accommodating in trying to work around my schedule. I am an emergency responder with unconventional hours and he worked day and night keeping in contact with me via text,and email as the progress moved forward. I appreciate his willingness to work around my schedule and accommodate my individual needs. His hard work made the process move quickly. Thank you Mark",1,Positive
Great customer service and everything was handled very quickly!!,1,Positive
"Don Dalton was a pleasure to work with! he made the whole process very pleasant to go through - took his time to explain everything, stayed patient and friendly at all times with a good sense of humor.",1,Positive
"Jonathan was extremely helpful in this process, handling the closing of one loan and the creation of another primarily on an IPhone during COVID is not easy and frustrating at times. Jonathon kept things on track, he was as knowledgeable about the technology as he is about the loan process.  He has excellent customer service skills and I enjoyed working with him.",1,Positive
"Keven Lazar was wonderful.  He made the loan easy.  Thank you,  Karen Thomas",1,Positive
Excellent customer service - Jeff Hazzard was very easy to work with and extreamly professional.,1,Positive
My advisor was Mark Nosal. He made this experience completely painless. Fantastic in every aspect. Not a penny came out of my pocket. He explained everything exactly how it was going to work. I couldn’t be happier.,1,Positive
Their professionalism is a top notch!! Reasonable interest rate and non stressful procedure.,1,Positive
"I had to obtain a loan to enable a lease buyout on my Nissan. Even though Tresl is not partnered with Nissan, my agent Jeff was extremely efficient and helpful in arranging and expediting the process. This is the second time I have turned to Tresl for aid in processing a lease buyout and both times they have managed to exceed my expectations on the ease and excellent loan rates obtained.    I certainly would recommend this route for anyone wanting to butout their lease quickly and with minimum stress.",1,Positive
"Terrence at Tresl is great to work with, was fast and easy and found me a really good interest. I would definitely recommend them.",1,Positive
"Excellent work, very helpful. Thanks for all the information provided for me in this process. I just refinanced my car to lower payments. Tresl hooray you guys rock. 5 star ?? quality. I’m very grateful.",1,Positive
"Julie was fantastic. So helpful, always responded to phone calls, clear in directions, and kept us updated on everything",1,Positive
"El sr Juan fue muy honesto y profesional al Trabajar esta transacion, ademas por haberme ayudado en español. Gracias",1,Positive
"WORSE SERVICE EVER, They don t follow instructions, they sent my title to different address that I asked for, then title got lost and the follow through of their mistake is a 0+. I am very disappointed of the service.  I still have no idea of what is going to happen with my title, no response on my emails and no calls from them.  If I don t have any news very soon, I will share my experience with them on all media support I can find.  You should take care of your customer.",0,Negative
It was faster than I thought and a good company.,1,Positive
"My rep, Angel, was awesome. He got the job done and refinanced My care loan for a beautiful low rate!! He was very professional, yet very friendly!!! 5 stars!!!",1,Positive
Ashley our Tresl rep is the best!  She always kept us in the loop throughout the entire process and there was never a doubt that she was gonna take care of my family.,1,Positive
The most excellent time I have had dealing with a loan!!,1,Positive
It was a very seamless process!,1,Positive
"Robert was awesome. I was bummed about the ding to my credit when I re-financed my vehicle but that's obviously not his fault. Overall, good experience. :]",1,Positive
Easy process,1,Positive
Jason Moen was great to work with.,1,Positive
"TRESL has made refinancing our truck simple and fast. Thanks, TRESL!",1,Positive
"Easy process, good rate, happy customer.  Little bumpy as far as some of the requests and the time of calls for follow up (which I found odd since they are in Texas (CST), but will chalk that up to all of us working remotely during COVID-19.",1,Positive
Tresl provided easy and straightforward guidance for securing a loan for a vehicle.  Much appreciated!,1,Positive
"Thanks for making the refinancing of our Jeep such an easy and smooth process. We were so nervous about the whole idea of it; however, we are grateful for this opportunity to improve our interest rate and gain extra benefit protection for our Jeep. Like; the GAP protection benefit, which is invaluable in our opinion. Again, Thanks! SJ & RJ",1,Positive
Eric was fantastic in facilitating my car loan. He was prompt on things we needed and needed to give him. He called to follow up regularly. Highly recommended!,1,Positive
Great experience! Much easier than dealing with a Bank. I would recommend Tresl  to everyone.,1,Positive
"Overall Tresl was a good experience. I give 3 stars instead of 5 because the customer service was much to be desired, the representative I was assigned was great for the first two days until I committed to the offer. Once I committed I could no longer reach her, nor did she ever return my call. At the end they did what they said they would do and did find a lower interest rate and did lower my payments. I would do business again, I would just hope that the customer service was better.",1,Positive
"We worked with Sara at Edwards and she was fantastic. Kept us up-to-date on everything that was happening in the process went very smoothly. Although it did take a little bit longer because of the office situation, we are completely satisfied.",1,Positive
"Went through Avis car sales.  Tresl handled the title work and financing part of the vehicle purchasing process.  Whole process was easy. No pressure, no hidden fees, everything was clear and straight forward.  Had one miss communication, but it was resolved without headache.  Would definitely consider going through process again for next car, not having to go through a dealership is a big plus.",1,Positive
This was the smoothest process that I've ever experienced in receiving financing. Jon was very helpful and explained everything perfectly.,1,Positive
"Helpful customer service, friendly and super quick responses. Could've used more information about what to expect during the process and better communication between the sales and financing teams.",1,Positive
You guys was wonderful I got my car refinanced in 24 hours and I’m very happy with my results.,1,Positive
It was an easy no hassle process!,1,Positive
I had a great experience working with my Fiancial advisor but the process takes extremely long   At first I did not feel comfortable providing my documents multiple times I then felt comfortable  I recommend tresel especially Sarah she was great to work with,1,Positive
"Our advisor, Aimee Shetley was superb in our lease buyout. She was very good with her communication and giving us updates and found us a great interest rate. Thank you for streamlining our process. Alexandrea W.",1,Positive
Amanda was extremely helpful and confident.  She was great to work with and answered any questions I had.  She made the process run very smoothly and saved me money.  I am waiting for everything to be finalized.,1,Positive
"Great experience, hopefully It pays off",1,Positive
Caroline was awesome! Made the refinance process easy to understand and didn’t take a really long time!,1,Positive
Very pleased thank u,1,Positive
Rachele was excellent throughout the whole process.,1,Positive
"Kim Winner was a lifesaver!  I hadn’t had a car loan in more than 10 years so was rusty on the process.  Kim walked me through everything, was great at answering questions, and easy to get in touch with.  Very grateful for Kim & Tresl making this a smooth and easy process!",1,Positive
Dan did a great job!!!   I would use them again on my next purchase of an automobile.,1,Positive
"Pretty easy process, got me a refinance with a way better interest rate and lowered my monthly payments by $80 a month. Thank you!",1,Positive
"The loan process was not as harassing as I thought. After getting prequalified a soft run was made on my credit history to get an interest rate. This was just a 2 minute phone call step. I got a rate that was right up my alley and began gathering paperwork for the process. The representative was helpful during the process, she was available through text, phone, and email; which was really good. I would recommend Tresl to others because the steps to getting a loan was simple.",1,Positive
Easy to apply. Fast approval. And excellent attention.,1,Positive
First my financier was very helpful and informative but then after I signed everything he never wanted to answer any phone calls or get back to me if I had any questions. It was a painful process to have to try and sit here idle because I’m not going to be informed on the progress of my loan and what’s going on. His job is to answer the phone and he couldn’t even manage to do that. So if you want to know anything call the bank directly because this guy isn’t going to help you.  Edit: A supervisor at Tresl has contacted me and said that they were going to deal with this guy. Tresl did save me money by lowering my interest rate and dropping my monthly car note which I do appreciate. So because I was contacted I’m raising my one star to a three star.,1,Positive
"This is my first time purchasing a high value car, and I was nervous about all the high pressure sales tactics that are used in this industry. (I'm in the New York area).   Well, the people at your company that I dealt with (Jayson Peebles and Darla Burn) were anything but that. Throughout my communication with them, I got the sense that they genuinely were trying to help me.  My first reservation was for a Camry at a decent price. 10% below value..  But it turned out, after the reservation was confirmed and we got the nitty gritty details, that the car was bright red.  It was not pictured the way  on Avis's website.  Jayson tipped me off that Toyota's website will provide all the precise details of each car, just by supplying the VIN, and he always checks the color there. That was helpful to know!  So we changed the booking to another Camry. But by this time, the market prices had shifted, and Avis was no longer offering the generous 10% below book value pricing that they had been when the first booking was made. The prices were now $1000 more than before.  Guess what ? Jayson vouched for me and explained the situation with the color, and Avis agreed to lower the new car to be where the first car's pricing was.  And when the day of my pickup fell out on his day off, Jayson emailed me the night before with the heads up, so that I can contact someone else in customer service without delay.  Another interesting thing. I show up at Avis, and since the test drive is treated like a rental, the counter person goes around the car and notes all the dings and dents. He pointed out to me that there was a crack in the bumper, and I might want to consider that. Wow! The seller is actually being helpful to the buyer.  So after the test drive, I went back to Jayson with the crack information. He suggested I reach out to Darla Burn, who is handling the financial part of the deal. She was happy to help, and told me that I should expect an answer within an hour's time.  Sure enough, an hour later, she called with the news from Avis; they agreed to lower the cost of the car to cover the bumper. Wow. This is after already agreeing to keep the price of my red car reservation  But it's more than that. Darla doesn't just email. She calls, and was so pleasant on the phone. She clearly explained the process, and was happy to be of help.  She explained exactly what it would cost to finance, and what the interest rates and dealer fees would be, and what factors influenced the dollar amount.   She even suggested a low cost quick fix for the bumper issue.",1,Positive
"Sara Edwards was awesome!!! She made the entire refinance process quick, hassle-free and transparent. She assisted me with every step of the process and helped me feel confident in choosing the best lender for my refinance. I will definitely be recommending this company to family and friends.",1,Positive
"Eric was such a big help I didnt understand anything about refinancing. He walked me through the process and anytime i didnt understand something i could call him anytime and he helped me. He was very pleasant, knowledgeable, friendly nice to talk to. I cant thank him enough for everything he did for me.",1,Positive
Friendly and helpful staffs.,1,Positive
Chance was great and knowledgeable. Very prompt and professional.,1,Positive
"For my 1st experience the transition was good, Once I left a brief summary on wanting to get my car refinance, Darla contact with me right away, She asked me for a couple more items that she needed to submit and once it was done she gave me some options, She found a  Lender that would take me gave me some good rates great payment, She sent me the paperwork I field everything out, Return the paperwork sent the money  From there she finalize everything, She kept in contact with me the whole way, I am very happy and she is a great person to talk to",1,Positive
Easy and very helpful! Customer service was always super friendly!,1,Positive
"Great product, great interest rates and great customer service guided me through the entire refinance process!  Kevin was outstanding and attentive to me needs.  Thank you TRESL!!! ??????????",1,Positive
My Rep Robert was very helpful and kept me informed every step of the way...made my progress go smoothly.,1,Positive
Worked with Don and it was a very seamless process. Great to work with and it can’t be done an easier than they do it. Awesome customer service!!!!!!,1,Positive
